Nombre del autor|Traducción|Título del libro|Lugar de edicion|Editorial -les|Año|Páginas|Formato|Colección/Tema|Edición|Tomo|Colección|Imprenta|Palabras Clave|Referencias|
||El grano de arena No. 8|Tepoztlán||1896|4||Historia de Morelos|||||Semanario, católico, ilustración, traducción, Nezahualcoyotl, ferrocarril, flores, recetas, voltaire|El catolicismo, desde su fundación ha encontrado siempre monstruos abominables que traen la pérfida misión de socavar sus cimientos, proporcionando de esta manera á las generaciones, los más espantosos desastres.|
||El grano de arena No. 9|Tepoztlán||1896|4||Historia de Morelos|||||Semanario, católico, Napoleón, lutero, jesuitas, sacerdote, adverbios, tepozteco|Concedamos al defensor de Lutero que los árboles de la Reforma reverdecieron y se multiplicarón hasta el escándalo en Alemania, Suiza, Inglaterra y Holanda, y que sus vástagos han formado en América un oscurísimo bosque.|
||El grano de arena No. 10|Tepoztlán||1896|4||Historia de Morelos|||||Semanario, católico, Napoleón, naturaleza, razón, Herodes, Judas, adverbios, voltaire|Judas Iscariote.-Apóstol de Jesucristo. El más abominable de los perseguidores y enemigos de la Iglesia.  |
||El grano de arena No. 11|Tepoztlán||1896|4||Historia de Morelos|||||Semanario, católico, Iglesia, triunfo, caifas, poncio, Herodes, masónica, fiestas|Libertad y masonería son términos antitéticos y naturalmente, la libertad masónica es una de las cosas más curiosas del mundo.|
||El grano de arena No. 12|Tepoztlán||1896|4||Historia de Morelos|||||Semanario, católico, Tepeyac, Napoleón, Nerón, Sofenio, Simon, eclesiástico, diocesana, obispado, protesta, Guadalupana, voltaire, malaventuranzas |Nerón, emperador de Roma. Inauguró la era de las persecusiones de la Iglesia y fue el primer emperador que publicó edictos de exterminio contra ella.|
||El grano de arena No. 14|Tepoztlán||1896|4||Historia de Morelos|||||Semanario, católico, Napoleón, crepuscular, testimonio, catolicismo, Barcochebas, jesuitas, capilla, altar, centenario |Barcochebas, falso mesias. Hizose pasar como mesias en tiempo del emperador Adriano; pretendió reedificar á Jerusalen en el año 132.|
||El grano de arena No. 15|Tepoztlán||1896|4||Historia de Morelos|||||Semanario, católico, Napoleón, Angelus, peregrino, fautisismo, voltaire, corpus, obscurantista |Peregrino, Hereje.Desterrado de su país natal por el delito de adulterio y por haber ahogado á su propio padre, se retiró á palestina donde se hizo cristiano para poder engañar á los fieles logrando obtener varios cargos de confianza.  |
||El grano de arena No. 16|Tepoztlán||1896|4||Historia de Morelos|||||Semanario, católico, Napoleón, religión, edicto, predicar, Marco Aurelio, Jesuitas|Marco Aurelio. Emperador de Roma. Extraño es que un emperador tan justo y tan clemente persiguiese con tanta saña a los cristianos|
||El grano de arena No. 17|Tepoztlán||1896|4||Historia de Morelos|||||Semanario, católico, religiosa, fiesta, memorable, Jesuitas, protestantismo, catolisismo, monseñor|Claudio Herminiano, Procónsul de Capadocia. El decreto del Emperador Septimo Severo contra la Iglesia fue una de las más terribles por su duración, y se extendio por todo el imperio, siendo sacrificados un gran número de mártires. |
||El grano de arena No. 18|Tepoztlán||1896|4||Historia de Morelos|||||Semanario, católico, voltaire, catolicismo, ferrocarrileras, Septimio, Severo|Septimio Severo, Emperador de Roma promulgo el año 202 un edicto de persecusión contra los cristianos.|
||El grano de arena No. 19|Tepoztlán||1896|4||Historia de Morelos|||||Semanario, católico, parabolas, toros, profesía, apostolado |El mejor tratado de pedagogía,ó sea de educación de los niños es el Catesismo de la Doctrina Cristiana. |
||El grano de arena No. 20|Tepoztlán||1896|4||Historia de Morelos|||||Semanario, católico, profesia, irreligión, iglesias, catolisismo, barrio, centenario, infierno|El dogma del infierno es la más terrible verdad de nuestra fé. El infierno existe, y nosotros tenemos de ello la misma certeza que de la existencia de Dios y del Sol, pues ninguna verdad ha sido demostrada más claramente como este dogma del que Jesucristo habla en su Evangelio más de quince veces  |
||El grano de arena No. 22|Tepoztlán||1896|4||Historia de Morelos|||||Semanario, católico, toros, iglesias, infierno, santisima, apostolado, milagros, devotos, hogar, pobres|¿Qué es un milagro? Es un acontecimiento que no ha podido ser efecto de ninguna causa natural, que es contrario á las leyes constantes y conocidas de la naturaleza y que lo puede atribuirse sino al autor y dueño de la misma.|
||El grano de arena No. 23|Tepoztlán||1896|4||Historia de Morelos|||||Semanario, católico, monumento,conmemorativo, tepoztlán, Poncio|Hace ya varios días que en uno de los escaparates de la casa Pellandini, se ha estado exhibiendo un precioso modelo en escala reducida, de un monumento que deberá alzarse en el Pueblo de Tepoztlán.|
||El grano de arena No. 24|Tepoztlán||1896|4||Historia de Morelos|||||Semanario, católico, indulgencias, cielo, lutero, asunción |Al elevarse por los aires, la nubes y las esferas celestiales; y se abren las puertas eternas, y la virgen de Juda entra en el cielo del cual es reina.|
